rs_sv_chem_l;rs_sv_tronc_l
2174152;7353
2174141;8349
2174049;7395
2174053;7395
2174177;7395
2174182;7395
2174442;7395
2174053;7319
2174108;7319
2174177;7319
2174182;7319
2174048;7392
2174105;7392
2174141;7392
2174143;7392
2174152;7392
2174440;7392
2173884;7398
2173884;7400
2173882;7405
2173882;7372
2173881;7370
2174298;12607
2173886;7322
2174216;7322
2173887;7316
2173886;7309
2173886;7415
2173887;7419
2173887;7421
2173887;7335
2174439;14290
2174058;8348
2174070;8348
2174141;8348
2173701;7368
2173887;7317
2174182;8347
2174191;8347
2174192;8347
2174442;8347
2173503;11288
2173560;7347
2173561;7347
2174143;7347
2173616;9683
2173619;9683
2173496;7308
2174050;4832
2174104;4832
2174440;4832
2174142;12425
2174143;12425
2174151;12425
2174153;12425
2174154;12425
2174138;8350
2174052;4829
2174053;4829
2174060;4834
2174105;4834
2174142;12395
2174153;12395
2174440;12395
2174059;3780
2174102;4837
2174103;4837
2174180;8335
2174442;8335
2174106;4833
2174108;4833
2174058;4841
2174060;4841
2174102;4841
2174138;4841
2174139;4841
2174151;4841
2174439;4841
2174061;4835
2174176;4835
2174177;4835
2174183;4835
2174190;4835
2173981;4846
2174104;4846
2174139;4846
2174141;4846
2174151;4846
2174153;4846
2174059;4838
2174106;4838
2174107;4838
2174108;4838
2174177;4838
2174179;4838
2174180;4838
2174189;4838
2174193;4838
2173981;12847
2174105;4850
2174068;8351
2174070;8351
2174139;8351
2174141;8351
2174143;8351
2174153;8351
2174069;4840
2174067;4843
2174066;4854
2174102;4854
2174103;4854
2174104;4854
2174138;4854
2174143;13869
2174063;4783
2174069;4783
2174066;4857
2174068;4857
2174103;4857
2174104;4857
2174063;4851
2174106;4851
2174064;4858
2174139;10425
2174143;10425
2174153;10425
2174179;12387
2174183;12387
2174279;3927
2174111;4859
2174073;4864
2174141;10466
2174142;10466
2174146;10466
2174430;10466
2174074;4860
2174075;4860
2174093;4860
2174095;4860
2174106;4860
2174072;3754
2174076;3754
2174090;3754
2174095;3756
2174106;3756
2174180;3756
2174182;3756
2174184;3756
2174186;3756
2174279;3756
2174282;3756
2174072;3272
2174092;3272
2174103;3272
2174142;3272
2174145;3272
2174089;4875
2174184;4875
2174369;4875
2174146;12389
2174148;12389
2174092;4879
2174103;4879
2174361;4879
2174093;3340
2174369;3340
2174073;3347
2174086;3347
2174092;3347
2174361;3347
2174074;3273
2174079;3273
2174091;3273
2174106;3273
2174185;3273
2174072;4874
2174141;4874
2174143;4874
2174149;4874
2174091;4871
2174106;4871
2174188;4871
2174104;3775
2174143;3775
2174087;3274
2174180;3274
2174436;3274
2174073;4868
2174276;4868
2174369;4867
2174084;3337
2174388;652
2174102;3789
2174354;4883
2174359;4883
2174388;4883
2174368;3006
2174362;4888
2174368;4888
2174292;4796
2174304;4796
2174320;4796
2174305;4890
2174314;4890
2174295;1380
2174298;1380
2174303;1380
2174304;1380
2174338;1380
2174295;4893
2174298;4893
2174303;4893
2174338;4893
2174352;10282
2174339;4895
2174215;3185
2174216;3185
2174235;3185
2174313;3185
2174376;1101
2174379;4903
2174363;4057
2174368;4057
2174387;4057
2174435;4057
2174372;362
2174386;362
2174097;1033
2174102;3354
2174138;3354
2174386;4901
2174354;438
2174360;438
2174358;2606
2174380;4899
2174393;4922
2174395;4922
2174428;4922
2174050;4232
2174098;4232
2174042;9963
2174050;4906
2174100;4906
2174359;3007
2174360;3007
2174361;4578
2174368;2914
2174389;2914
2174417;2914
